key,status,value,used_exact,dynamic_risk,builtin_risk,runtime_value_seen,exact_files,runtime_pages,notes
blogs.article.read_more,used_exact,Read more,True,False,False,False,snippets/m--article-card.liquid,,Exact key path found in source files
collections.faceting.price_filter_from,used_exact,Price from,True,False,False,False,snippets/filter--price-range.liquid,,Exact key path found in source files
collections.faceting.price_filter_to,used_exact,Price to,True,False,False,False,snippets/filter--price-range.liquid,,Exact key path found in source files
collections.faceting.price_range_to,used_exact,to,True,False,False,True,snippets/filter--price-range.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
collections.filters_ui.all_filters,used_exact,All Filters,True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.clear_all,used_exact,Clear All,True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.close_filters,used_exact,Close filters,True,False,False,False,snippets/cart--main.liquid; snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.filter,used_exact,Filter,True,False,False,True,snippets/m--filters.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
collections.filters_ui.filter_by,used_exact,Filter by,True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.quick_filter,used_exact,Quick Filter,True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.sort,used_exact,Sort,True,False,False,True,snippets/m--filters.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
collections.filters_ui.sort_options,used_exact,Sort options,True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
collections.filters_ui.view_with_count,used_exact,View ({{ count }}),True,False,False,False,snippets/m--filters.liquid,,Exact key path found in source files
customer.help_center.faq,used_exact,FAQ,True,False,True,True,sections/faq--main.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
customer.help_center.faq_search_aria,used_exact,Search FAQs,True,False,True,False,sections/faq--main.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
customer.help_center.faq_search_label,used_exact,Search in FAQ,True,False,True,False,sections/faq--main.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
customer.help_center.faq_search_prompt,used_exact,What are you looking for?,True,False,True,False,sections/faq--main.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
customer.login_page.forgot_password,used_exact,Forgot your password?,True,False,True,False,snippets/a--input.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
customer.login_page.password,used_exact,Password,True,False,True,False,snippets/a--input.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
customer.login_page.password_error,used_exact,Your password must be at least 6.,True,False,True,False,snippets/a--input.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
footer.back_to_top,used_exact,Back to top,True,False,False,False,sections/footer.liquid,,Exact key path found in source files
footer.contact,used_exact,Contact,True,False,False,True,sections/footer.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
footer.follow_us,used_exact,Follow us,True,False,False,False,sections/footer.liquid,,Exact key path found in source files
general.account.addresses,builtin_risk,Addresses,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.account.details,builtin_risk,Details,False,False,True,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Looks like a Shopify/platform or built-in component key; Translated value found in fetched storefront HTML
general.account.help,builtin_risk,Help,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.account.login,builtin_risk,Login,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.account.orders,builtin_risk,Orders,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.account.register,builtin_risk,Register,False,False,True,False,,,Looks like a Shopify/platform or built-in component key
general.breadcrumbs.home,used_exact,Home,True,False,False,True,snippets/_head-json-ld.liquid; snippets/m--breadcrumbs.liquid,https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Exact key path found in source files; Translated value found in fetched storefront HTML
general.breadcrumbs.home_link_title,runtime_value_seen,Home,False,False,False,True,,https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Translated value found in fetched storefront HTML
general.cart.discount,runtime_value_seen,Discount,False,False,False,True,,https://voldt.it/pages/diventare-partner,Translated value found in fetched storefront HTML
general.cart.promotion,used_exact,Promotion,True,False,False,False,snippets/cart--summary.liquid,,Exact key path found in source files
general.cart.title,used_exact,Your shopping bag,True,False,False,False,snippets/cart--main.liquid,,Exact key path found in source files
general.continue_shopping,used_exact,Continue shopping,True,False,False,False,snippets/cart--main.liquid,,Exact key path found in source files
general.media.mute_video,used_exact,Mute video,True,False,False,False,snippets/a--video.liquid,,Exact key path found in source files
general.media.pause_video,used_exact,Pause video,True,False,False,False,snippets/a--video.liquid,,Exact key path found in source files
general.media.play_video,used_exact,Play video,True,False,False,False,snippets/a--video.liquid,,Exact key path found in source files
general.pagination.label,used_exact,Pagination,True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.pagination.next,used_exact,Next page,True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.pagination.next_short,used_exact,Next,True,False,False,True,snippets/m--search-pagination.liquid,https://voldt.it/,Exact key path found in source files; Translated value found in fetched storefront HTML
general.pagination.page,used_exact,Page {{ number }},True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.pagination.pages_label,used_exact,Pagination pages,True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.pagination.previous,used_exact,Previous page,True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.pagination.previous_short,used_exact,Previous,True,False,False,False,snippets/m--search-pagination.liquid,,Exact key path found in source files
general.password_page.admin_link_html,used_exact,"Are you the store owner? <a href=""/admin"" class=""link underlined-link"">Log in here</a>",True,False,True,False,sections/password--header.liquid; sections/password--footer.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_form_error,used_exact,Wrong password!,True,False,True,False,sections/password--header.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_form_heading,used_exact,Enter store using password:,True,False,True,False,sections/password--header.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_form_password_label,used_exact,Password,True,False,True,False,sections/password--header.liquid; sections/password--default.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_form_password_placeholder,used_exact,Your password,True,False,True,False,sections/password--header.liquid; sections/password--default.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_form_submit,used_exact,Enter,True,False,True,False,sections/password--header.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
general.password_page.login_password_button,used_exact,Enter using password,True,False,True,False,sections/password--header.liquid,,Exact key path found in source files; Looks like a Shopify/platform or built-in component key
